                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.1881,                 4.8188,                 1.1864,                 1.1668,                  4.863,                 1.1368,                0.00418,                0.08682,                0.03134,                0.02874,                 1.0712,                 4.5847,                 1.1493,                 1.0114,                  4.598,                 1.0839,              2.852e-05,              2.852e-05,              2.852e-05
                     55,                 1.2786,                 4.8319,                 1.2229,                 1.2168,                 4.8771,                 1.1389,                0.00413,                0.08688,                0.03173,                0.02873,                 1.0558,                 4.5649,                 1.1403,                 1.0076,                 4.5781,                 1.0808,              2.753e-05,              2.753e-05,              2.753e-05
                     56,                 1.1963,                 4.8344,                 1.1952,                 1.1254,                 4.9318,                  1.112,                 0.0043,                0.08876,                0.02709,                0.02407,                 1.0568,                 4.5461,                 1.1402,                 1.0088,                 4.5526,                  1.077,              2.654e-05,              2.654e-05,              2.654e-05
                     57,                 1.1141,                 4.9119,                 1.1202,                 1.0803,                  4.933,                 1.0462,                 0.0043,                0.08876,                0.02709,                0.02407,                 1.0568,                 4.5461,                 1.1402,                 1.0088,                 4.5526,                  1.077,              2.555e-05,              2.555e-05,              2.555e-05
                     58,                 1.3286,                 4.6717,                 1.2431,                 1.2108,                  4.755,                 1.1235,                0.01254,                0.08982,                0.03195,                0.02891,                 1.0576,                 4.5381,                 1.1396,                 1.0113,                 4.5366,                  1.075,              2.456e-05,              2.456e-05,              2.456e-05
                     59,                 1.1526,                 4.7947,                 1.1464,                 1.1292,                 4.9988,                 1.1342,                0.01249,                0.08991,                0.03334,                0.02988,                 1.0594,                 4.5239,                 1.1378,                 1.0046,                 4.5198,                 1.0712,              2.357e-05,              2.357e-05,              2.357e-05
                     60,                 1.2516,                 4.8571,                 1.2037,                 1.2186,                 4.8338,                 1.1286,                0.01259,                0.08999,                0.03349,                0.02987,                 1.0585,                 4.5149,                 1.1364,                0.99897,                 4.5005,                 1.0508,              2.258e-05,              2.258e-05,              2.258e-05
                     61,                 1.1509,                 4.7794,                 1.1424,                 1.1226,                 4.7974,                 1.0798,                0.01259,                0.08999,                0.03349,                0.02987,                 1.0585,                 4.5149,                 1.1364,                0.99897,                 4.5005,                 1.0508,              2.159e-05,              2.159e-05,              2.159e-05
                     62,                 1.1164,                 4.7063,                 1.1879,                 1.0556,                 4.7612,                 1.0991,                0.01405,                0.08838,                0.03489,                0.03126,                 1.0578,                 4.5078,                 1.1333,                0.99754,                 4.4902,                 1.0471,               2.06e-05,               2.06e-05,               2.06e-05
                     63,                 1.2903,                 4.9241,                 1.1896,                 1.2335,                 4.9032,                  1.103,                0.01402,                0.09149,                 0.0353,                0.03162,                 1.0554,                 4.5015,                 1.1292,                0.99705,                 4.4824,                 1.0462,              1.961e-05,              1.961e-05,              1.961e-05
                     64,                 1.0465,                 4.7444,                 1.1079,                 1.0324,                   4.75,                 1.0498,                0.01436,                0.09591,                0.03975,                0.03478,                 1.0485,                 4.4977,                 1.1245,                0.99497,                 4.4788,                  1.044,              1.862e-05,              1.862e-05,              1.862e-05
                     65,                 1.3375,                 4.6677,                 1.2596,                 1.2503,                 4.7961,                 1.1789,                0.01436,                0.09591,                0.03975,                0.03478,                 1.0485,                 4.4977,                 1.1245,                0.99497,                 4.4788,                  1.044,              1.763e-05,              1.763e-05,              1.763e-05
                     66,                 1.2928,                 4.9494,                 1.2355,                 1.2418,                 4.9233,                 1.1523,                 0.0142,                0.09426,                0.03984,                0.03457,                 1.0448,                 4.4887,                 1.1202,                0.99434,                 4.4727,                 1.0389,              1.664e-05,              1.664e-05,              1.664e-05
                     67,                 1.1615,                 4.9608,                 1.1527,                  1.153,                 4.8931,                 1.0729,                0.01413,                0.09419,                0.04008,                0.03477,                 1.0418,                 4.4983,                 1.1196,                0.99773,                 4.4756,                 1.0379,              1.565e-05,              1.565e-05,              1.565e-05
                     68,                 1.1732,                 4.9168,                 1.1821,                 1.1448,                 4.8657,                 1.0936,                0.01396,                0.09564,                0.04018,                0.03409,                 1.0274,                 4.5015,                  1.113,                0.98927,                 4.4748,                 1.0429,              1.466e-05,              1.466e-05,              1.466e-05
                     69,                 1.1305,                 4.7222,                 1.1215,                 1.1095,                 4.6339,                  1.058,                0.01396,                0.09564,                0.04018,                0.03409,                 1.0274,                 4.5015,                  1.113,                0.98927,                 4.4748,                 1.0429,              1.367e-05,              1.367e-05,              1.367e-05
                     70,                 1.2987,                    4.7,                 1.2176,                 1.2404,                 4.7412,                 1.1473,                0.01401,                0.09642,                 0.0403,                0.03501,                 1.0175,                 4.4953,                  1.107,                0.98561,                 4.4639,                   1.04,              1.268e-05,              1.268e-05,              1.268e-05
                     71,                 1.3081,                 4.5709,                 1.2166,                 1.2074,                 4.6376,                 1.1179,                  0.014,                0.09782,                0.04013,                0.03484,                 1.0301,                 4.4777,                 1.1151,                0.99285,                 4.4295,                 1.0317,              1.169e-05,              1.169e-05,              1.169e-05
                     72,                 1.3891,                 4.7092,                 1.3776,                 1.2795,                 4.7715,                 1.2407,                0.01401,                0.09789,                0.03979,                0.03452,                 1.0284,                 4.4492,                  1.112,                0.98189,                 4.4053,                 1.0213,               1.07e-05,               1.07e-05,               1.07e-05
                     73,                 1.1926,                 4.7094,                   1.17,                 1.1377,                 4.8038,                 1.1068,                0.01401,                0.09789,                0.03979,                0.03452,                 1.0284,                 4.4492,                  1.112,                0.98189,                 4.4053,                 1.0213,               9.71e-06,               9.71e-06,               9.71e-06
                     74,                 1.2538,                 4.4576,                 1.2183,                 1.1947,                 4.5485,                 1.1496,                0.01381,                0.09734,                0.04393,                0.03867,                 1.0189,                 4.4343,                 1.1048,                0.97434,                 4.3946,                  1.017,               8.72e-06,               8.72e-06,               8.72e-06
                     75,                 1.1737,                 4.6313,                 1.1884,                 1.1944,                 4.8493,                 1.1669,                0.01381,                0.09738,                0.04406,                0.03838,                  1.011,                 4.4192,                 1.0955,                0.96427,                 4.3846,                 1.0139,               7.73e-06,               7.73e-06,               7.73e-06
                     76,                 1.2436,                 4.8623,                 1.1491,                 1.2496,                  4.948,                 1.0799,                0.01469,                0.10162,                0.04503,                0.03944,                0.99969,                 4.3963,                 1.0812,                0.94802,                 4.3821,                 1.0173,               6.74e-06,               6.74e-06,               6.74e-06
                     77,                 1.1449,                  4.528,                 1.1365,                 1.0702,                 4.5244,                 1.0652,                0.01469,                0.10162,                0.04503,                0.03944,                0.99969,                 4.3963,                 1.0812,                0.94802,                 4.3821,                 1.0173,               5.75e-06,               5.75e-06,               5.75e-06
                     78,                 1.0852,                 4.5837,                 1.1512,                 1.0545,                  4.749,                 1.0752,                0.01469,                0.10169,                0.04513,                0.03956,                0.99474,                 4.3909,                 1.0777,                0.94717,                 4.3771,                 1.0207,               4.76e-06,               4.76e-06,               4.76e-06
                     79,                  1.134,                 4.5798,                 1.1731,                 1.0777,                 4.6719,                 1.1011,                0.01457,                0.10249,                0.04572,                 0.0401,                0.99079,                 4.3786,                 1.0735,                0.94558,                 4.3712,                 1.0205,               3.77e-06,               3.77e-06,               3.77e-06
                     80,                 1.0853,                 4.5185,                 1.1175,                 1.0398,                 4.5256,                 1.0304,                0.01461,                0.10253,                0.04523,                0.03969,                 0.9949,                  4.376,                 1.0768,                0.94815,                 4.3657,                 1.0218,               2.78e-06,               2.78e-06,               2.78e-06
